,Date,Ross,Chandler,BT1,BT2,BT3,BT4,BT5,GR1,GR2,GR3,GR4,GR5,Total,Saury,Blue_Runner,Squid,Mackerel,Herring,Sardine,Mazuri_Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle_Eye,Humbolt_Squid,Temperature,covid,light_training,GroupFeed,Varied_Target,All_GR,All_BT,All_SS,male,female,Day_of_week,Month,Day
27,2018-01-21,8.0,7.0,5.0,6.0,6.0,1.0,5.0,,,,,,38.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,0,0,0,,23.0,15.0,25.0,13.0,6,1,21
28,2018-01-23,11.0,11.0,18.0,6.0,9.0,5.0,3.0,2.0,1.0,3.0,0.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0,0,1,0,7.0,41.0,22.0,45.0,25.0,1,1,23
29,2018-01-25,3.0,7.0,2.0,1.0,8.0,8.0,1.0,3.0,2.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,72.6,0,0,1,0,10.0,20.0,10.0,16.0,24.0,3,1,25
30,2018-01-27,,,,,,,,8.0,6.0,13.0,3.0,5.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,0,0,35.0,,,8.0,27.0,5,1,27
31,2018-01-28,5.0,3.0,6.0,7.0,6.0,4.0,2.0,,,,,,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,0,0,,25.0,8.0,16.0,17.0,6,1,28
32,2018-01-30,0.0,7.0,10.0,4.0,7.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0,0,1,0,6.0,24.0,7.0,20.0,17.0,1,1,30
33,2018-02-01,8.0,8.0,5.0,3.0,3.0,7.0,3.0,1.0,0.0,2.0,5.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,0,1,0,8.0,21.0,16.0,25.0,20.0,3,2,1
34,2018-02-03,,,,,,,,1.0,1.0,7.0,9.0,13.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,0,0,31.0,,,1.0,30.0,5,2,3
35,2018-02-04,6.0,10.0,10.0,2.0,5.0,3.0,3.0,,,,,,39.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,0,0,,23.0,16.0,29.0,10.0,6,2,4
36,2018-02-06,3.0,14.0,11.0,7.0,9.0,5.0,3.0,3.0,0.0,6.0,6.0,0.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,0,1,0,15.0,35.0,17.0,34.0,33.0,1,2,6
37,2018-02-08,9.0,7.0,13.0,5.0,7.0,9.0,6.0,0.0,1.0,3.0,5.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,1,0,9.0,40.0,16.0,35.0,30.0,3,2,8
38,2018-02-10,,,,,,,,7.0,1.0,4.0,2.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,0,0,0,17.0,,,7.0,10.0,5,2,10
39,2018-02-11,19.0,22.0,15.0,4.0,16.0,5.0,4.0,,,,,,85.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0,0,0,0,,44.0,41.0,60.0,25.0,6,2,11
40,2018-02-13,8.0,3.0,12.0,7.0,10.0,8.0,15.0,3.0,1.0,17.0,8.0,2.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,1,0,31.0,52.0,11.0,41.0,53.0,1,2,13
41,2018-02-15,5.0,11.0,10.0,4.0,11.0,11.0,11.0,4.0,4.0,5.0,6.0,0.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,1,1,0,19.0,47.0,16.0,41.0,41.0,3,2,15
42,2018-02-17,,,,,,,,3.0,0.0,5.0,4.0,3.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,1,0,0,15.0,,,3.0,12.0,5,2,17
43,2018-02-18,12.0,17.0,4.0,5.0,6.0,2.0,2.0,,,,,,48.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,1,0,0,,19.0,29.0,35.0,13.0,6,2,18
44,2018-02-20,9.0,12.0,16.0,4.0,7.0,7.0,5.0,0.0,5.0,3.0,3.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,1,0,11.0,39.0,21.0,42.0,29.0,1,2,20
45,2018-02-22,17.0,7.0,8.0,12.0,14.0,4.0,11.0,3.0,0.0,3.0,3.0,2.0,84.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,1,1,0,11.0,49.0,24.0,46.0,38.0,3,2,22
46,2018-02-24,,,,,,,,2.0,3.0,10.0,6.0,7.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,0,0,28.0,,,2.0,26.0,5,2,24
47,2018-02-25,10.0,14.0,17.0,6.0,9.0,6.0,7.0,,,,,,69.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,1,0,0,,45.0,24.0,48.0,21.0,6,2,25
48,2018-02-27,0.0,20.0,19.0,4.0,10.0,5.0,11.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,1,1,0,1.0,49.0,20.0,50.0,20.0,1,2,27
49,2018-03-01,10.0,3.0,16.0,2.0,9.0,10.0,3.0,0.0,0.0,3.0,1.0,0.0,57.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0,1,1,0,4.0,40.0,13.0,32.0,25.0,3,3,1
50,2018-03-03,7.0,10.0,10.0,2.0,6.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,45.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0,1,1,0,5.0,23.0,17.0,31.0,14.0,5,3,3
51,2018-03-05,8.0,16.0,19.0,5.0,8.0,9.0,11.0,6.0,1.0,17.0,11.0,4.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0,1,1,0,39.0,52.0,24.0,60.0,55.0,0,3,5
52,2018-03-08,30.0,12.0,24.0,7.0,17.0,21.0,13.0,3.0,0.0,5.0,1.0,3.0,136.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,0,1,1,0,12.0,82.0,42.0,82.0,54.0,3,3,8
53,2018-03-10,,,,,,,,0.0,2.0,1.0,3.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73.4,0,1,0,0,12.0,,,0.0,12.0,5,3,10
54,2018-03-11,28.0,13.0,7.0,4.0,5.0,8.0,2.0,,,,,,67.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,1,0,0,,26.0,41.0,50.0,17.0,6,3,11
